TP,FP,FN,TN,SHD,TPR,FPR,FDR,scenario,dataset,algo,skel_TP,skel_FP,skel_FN,skel_TN,skel_SHD,skel_TPR,skel_FPR,skel_FDR,orient_TP,orient_FP,orient_FN,orient_TN,orient_SHD,orient_TPR,orient_FPR,orient_FDR
2.0,0.0,0.0,7.0,0.0,1.0,0.0,0.0,dag_structure_markequi,study_comprehension_testscore,dagslam,,,,,,,,,,,,,,,,
2.0,0.0,0.0,7.0,0.0,1.0,0.0,0.0,dag_structure_markequi,web_traffic_revenue,dagslam,,,,,,,,,,,,,,,,
4.0,5.0,1.0,6.0,6.0,0.8,0.4545454545454545,0.5555555555555556,domain_shift,arthritis_trial,dagslam,,,,,,,,,,,,,,,,
4.0,5.0,1.0,6.0,6.0,0.8,0.4545454545454545,0.5555555555555556,domain_shift,cardio_trial,dagslam,,,,,,,,,,,,,,,,
3.0,4.0,2.0,7.0,6.0,0.6,0.3636363636363636,0.5714285714285714,domain_shift,cholesterol_trial,dagslam,,,,,,,,,,,,,,,,
4.0,4.0,1.0,7.0,5.0,0.8,0.3636363636363636,0.5,domain_shift,diabetes_trial,dagslam,,,,,,,,,,,,,,,,
4.0,1.0,1.0,10.0,2.0,0.8,0.0909090909090909,0.2,domain_shift,domain_shift_sem,dagslam,,,,,,,,,,,,,,,,
6.0,7.0,2.0,34.0,9.0,0.75,0.1707317073170731,0.5384615384615384,mediation_outcome_confounder,exercise_intervention_study,dagslam,,,,,,,,,,,,,,,,
6.0,7.0,2.0,34.0,9.0,0.75,0.1707317073170731,0.5384615384615384,mediation_outcome_confounder,language_learning_study,dagslam,,,,,,,,,,,,,,,,
7.0,8.0,1.0,33.0,9.0,0.875,0.1951219512195122,0.5333333333333333,mediation_outcome_confounder,nutrition_program_study,dagslam,,,,,,,,,,,,,,,,
3.0,1.0,0.0,5.0,1.0,1.0,0.1666666666666666,0.25,moderation_effect,arthritis_pain_reduction,dagslam,,,,,,,,,,,,,,,,
3.0,1.0,0.0,5.0,1.0,1.0,0.1666666666666666,0.25,moderation_effect,depression_symptom_reduction,dagslam,,,,,,,,,,,,,,,,
3.0,0.0,0.0,6.0,0.0,1.0,0.0,0.0,moderation_effect,hypertension_bp_reduction,dagslam,,,,,,,,,,,,,,,,
3.0,0.0,0.0,6.0,0.0,1.0,0.0,0.0,moderation_effect,infection_bacteria_reduction,dagslam,,,,,,,,,,,,,,,,
3.0,0.0,0.0,6.0,0.0,1.0,0.0,0.0,moderation_effect,moderation_effect_sem,dagslam,,,,,,,,,,,,,,,,
0.0,0.0,3.0,13.0,3.0,0.0,0.0,,necessity_sufficiency,bridge_integrity,dagslam,,,,,,,,,,,,,,,,
0.0,0.0,3.0,13.0,3.0,0.0,0.0,,necessity_sufficiency,factory_monitoring,dagslam,,,,,,,,,,,,,,,,
0.0,0.0,3.0,13.0,3.0,0.0,0.0,,necessity_sufficiency,network_health,dagslam,,,,,,,,,,,,,,,,
0.0,0.0,3.0,13.0,3.0,0.0,0.0,,necessity_sufficiency,patient_recovery,dagslam,,,,,,,,,,,,,,,,
0.0,0.0,3.0,13.0,3.0,0.0,0.0,,necessity_sufficiency,stress_sem,dagslam,,,,,,,,,,,,,,,,
7.0,7.0,9.0,41.0,16.0,0.4375,0.1458333333333333,0.5,sequential_mediator,sequential_mediation_dataset,dagslam,,,,,,,,,,,,,,,,
5.0,6.0,4.0,21.0,10.0,0.5555555555555556,0.2222222222222222,0.5454545454545454,treatment_mediator,education_subsidy_policy,dagslam,,,,,,,,,,,,,,,,
,,,,,,,,casual_effect,device_failure_data,fci,10.0,6.0,8.0,25.0,14.0,0.5555555555555556,0.1935483870967742,0.375,4.0,2.0,12.0,0.0,14.0,0.25,1.0,0.3333333333333333
,,,,,,,,casual_effect,student_tutoring_data,fci,6.0,8.0,12.0,23.0,20.0,0.3333333333333333,0.2580645161290322,0.5714285714285714,0.0,4.0,14.0,0.0,18.0,0.0,1.0,1.0
,,,,,,,,causal_direction_iv,clinical_trial_sem,fci,6.0,2.0,0.0,8.0,2.0,1.0,0.2,0.25,4.0,0.0,2.0,0.0,2.0,0.6666666666666666,,0.0
,,,,,,,,causal_direction_iv,ecommerce_sem,fci,4.0,0.0,2.0,10.0,2.0,0.6666666666666666,0.0,0.0,0.0,0.0,6.0,0.0,6.0,0.0,,
,,,,,,,,causal_direction_iv,environment_sem,fci,0.0,4.0,6.0,6.0,10.0,0.0,0.4,1.0,0.0,0.0,6.0,0.0,6.0,0.0,,
,,,,,,,,causal_direction_iv,marketing_sem,fci,4.0,0.0,2.0,10.0,2.0,0.6666666666666666,0.0,0.0,0.0,0.0,6.0,0.0,6.0,0.0,,
,,,,,,,,counterfactual_reasoning,climate_impact_sem,fci,6.0,0.0,2.0,8.0,2.0,0.75,0.0,0.0,0.0,0.0,8.0,0.0,8.0,0.0,,
,,,,,,,,counterfactual_reasoning,clinical_trial_sem,fci,6.0,2.0,2.0,6.0,4.0,0.75,0.25,0.25,4.0,2.0,2.0,0.0,4.0,0.6666666666666666,1.0,0.3333333333333333
,,,,,,,,counterfactual_reasoning,education_performance_sem,fci,6.0,2.0,2.0,6.0,4.0,0.75,0.25,0.25,4.0,2.0,2.0,0.0,4.0,0.6666666666666666,1.0,0.3333333333333333
,,,,,,,,counterfactual_reasoning,investment_outcome_sem,fci,8.0,2.0,0.0,6.0,2.0,1.0,0.25,0.2,2.0,2.0,4.0,0.0,6.0,0.3333333333333333,1.0,0.5
,,,,,,,,counterfactual_reasoning,manufacturing_quality_sem,fci,6.0,2.0,2.0,6.0,4.0,0.75,0.25,0.25,4.0,2.0,2.0,0.0,4.0,0.6666666666666666,1.0,0.3333333333333333
,,,,,,,,dag_structure_markequi,dag_structure_markequi_sem,fci,4.0,0.0,0.0,5.0,0.0,1.0,0.0,0.0,0.0,0.0,4.0,0.0,4.0,0.0,,
,,,,,,,,dag_structure_markequi,sleep_alertness_productivity,fci,4.0,0.0,0.0,5.0,0.0,1.0,0.0,0.0,0.0,0.0,4.0,0.0,4.0,0.0,,
,,,,,,,,dag_structure_markequi,study_comprehension_testscore,fci,4.0,0.0,0.0,5.0,0.0,1.0,0.0,0.0,0.0,0.0,4.0,0.0,4.0,0.0,,
,,,,,,,,dag_structure_markequi,web_traffic_revenue,fci,4.0,0.0,0.0,5.0,0.0,1.0,0.0,0.0,0.0,0.0,4.0,0.0,4.0,0.0,,
,,,,,,,,domain_shift,arthritis_trial,fci,4.0,0.0,6.0,6.0,6.0,0.4,0.0,0.0,4.0,0.0,6.0,0.0,6.0,0.4,,0.0
,,,,,,,,domain_shift,cardio_trial,fci,4.0,0.0,6.0,6.0,6.0,0.4,0.0,0.0,4.0,0.0,6.0,0.0,6.0,0.4,,0.0
,,,,,,,,domain_shift,cholesterol_trial,fci,4.0,0.0,6.0,6.0,6.0,0.4,0.0,0.0,4.0,0.0,6.0,0.0,6.0,0.4,,0.0
,,,,,,,,domain_shift,diabetes_trial,fci,4.0,0.0,6.0,6.0,6.0,0.4,0.0,0.0,4.0,0.0,6.0,0.0,6.0,0.4,,0.0
,,,,,,,,domain_shift,domain_shift_sem,fci,4.0,0.0,6.0,6.0,6.0,0.4,0.0,0.0,4.0,0.0,6.0,0.0,6.0,0.4,,0.0
,,,,,,,,mediation_outcome_confounder,exercise_intervention_study,fci,10.0,2.0,6.0,31.0,8.0,0.625,0.0606060606060606,0.1666666666666666,4.0,2.0,10.0,0.0,12.0,0.2857142857142857,1.0,0.3333333333333333
,,,,,,,,mediation_outcome_confounder,language_learning_study,fci,10.0,2.0,6.0,31.0,8.0,0.625,0.0606060606060606,0.1666666666666666,8.0,0.0,8.0,0.0,8.0,0.5,,0.0
,,,,,,,,mediation_outcome_confounder,nutrition_program_study,fci,12.0,4.0,4.0,29.0,8.0,0.75,0.1212121212121212,0.25,12.0,0.0,4.0,0.0,4.0,0.75,,0.0
,,,,,,,,moderation_effect,arthritis_pain_reduction,fci,4.0,0.0,2.0,3.0,2.0,0.6666666666666666,0.0,0.0,4.0,0.0,2.0,0.0,2.0,0.6666666666666666,,0.0
,,,,,,,,moderation_effect,depression_symptom_reduction,fci,4.0,0.0,2.0,3.0,2.0,0.6666666666666666,0.0,0.0,4.0,0.0,2.0,0.0,2.0,0.6666666666666666,,0.0
,,,,,,,,moderation_effect,hypertension_bp_reduction,fci,4.0,0.0,2.0,3.0,2.0,0.6666666666666666,0.0,0.0,4.0,0.0,2.0,0.0,2.0,0.6666666666666666,,0.0
,,,,,,,,moderation_effect,infection_bacteria_reduction,fci,4.0,0.0,2.0,3.0,2.0,0.6666666666666666,0.0,0.0,4.0,0.0,2.0,0.0,2.0,0.6666666666666666,,0.0
,,,,,,,,moderation_effect,moderation_effect_sem,fci,6.0,0.0,0.0,3.0,0.0,1.0,0.0,0.0,0.0,0.0,6.0,0.0,6.0,0.0,,
,,,,,,,,necessity_sufficiency,bridge_integrity,fci,6.0,0.0,0.0,10.0,0.0,1.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,1.0,,0.0
,,,,,,,,necessity_sufficiency,factory_monitoring,fci,6.0,0.0,0.0,10.0,0.0,1.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,1.0,,0.0
,,,,,,,,necessity_sufficiency,network_health,fci,6.0,0.0,0.0,10.0,0.0,1.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,1.0,,0.0
,,,,,,,,necessity_sufficiency,patient_recovery,fci,6.0,0.0,0.0,10.0,0.0,1.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,1.0,,0.0
,,,,,,,,necessity_sufficiency,stress_sem,fci,6.0,0.0,0.0,10.0,0.0,1.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,1.0,,0.0
,,,,,,,,sequential_mediator,sequential_mediation_dataset,fci,12.0,4.0,20.0,28.0,24.0,0.375,0.125,0.25,8.0,0.0,24.0,0.0,24.0,0.25,,0.0
,,,,,,,,treatment_mediator,economic_stimulus,fci,8.0,2.0,10.0,16.0,12.0,0.4444444444444444,0.1111111111111111,0.2,4.0,2.0,12.0,0.0,14.0,0.25,1.0,0.3333333333333333
,,,,,,,,treatment_mediator,education_subsidy_policy,fci,6.0,4.0,12.0,14.0,16.0,0.3333333333333333,0.2222222222222222,0.4,2.0,0.0,16.0,0.0,16.0,0.1111111111111111,,0.0
,,,,,,,,treatment_mediator,infrastructure_spending_policy,fci,8.0,2.0,10.0,16.0,12.0,0.4444444444444444,0.1111111111111111,0.2,4.0,2.0,12.0,0.0,14.0,0.25,1.0,0.3333333333333333
,,,,,,,,treatment_mediator,job_training_policy,fci,8.0,2.0,10.0,16.0,12.0,0.4444444444444444,0.1111111111111111,0.2,8.0,0.0,10.0,0.0,10.0,0.4444444444444444,,0.0
,,,,,,,,treatment_mediator,tax_incentive_policy,fci,8.0,2.0,10.0,16.0,12.0,0.4444444444444444,0.1111111111111111,0.2,4.0,2.0,12.0,0.0,14.0,0.25,1.0,0.3333333333333333
3.0,4.0,6.0,36.0,10.0,0.3333333333333333,0.1,0.5714285714285714,casual_effect,device_failure_data,hc,,,,,,,,,,,,,,,,
3.0,4.0,6.0,36.0,10.0,0.3333333333333333,0.1,0.5714285714285714,casual_effect,student_tutoring_data,hc,,,,,,,,,,,,,,,,
3.0,1.0,0.0,12.0,1.0,1.0,0.0769230769230769,0.25,causal_direction_iv,clinical_trial_sem,hc,,,,,,,,,,,,,,,,
3.0,1.0,0.0,12.0,1.0,1.0,0.0769230769230769,0.25,causal_direction_iv,ecommerce_sem,hc,,,,,,,,,,,,,,,,
2.0,2.0,1.0,11.0,3.0,0.6666666666666666,0.1538461538461538,0.5,causal_direction_iv,environment_sem,hc,,,,,,,,,,,,,,,,
3.0,1.0,0.0,12.0,1.0,1.0,0.0769230769230769,0.25,causal_direction_iv,marketing_sem,hc,,,,,,,,,,,,,,,,
3.0,2.0,1.0,10.0,3.0,0.75,0.1666666666666666,0.4,counterfactual_reasoning,climate_impact_sem,hc,,,,,,,,,,,,,,,,
3.0,2.0,1.0,10.0,3.0,0.75,0.1666666666666666,0.4,counterfactual_reasoning,clinical_trial_sem,hc,,,,,,,,,,,,,,,,
3.0,2.0,1.0,10.0,3.0,0.75,0.1666666666666666,0.4,counterfactual_reasoning,education_performance_sem,hc,,,,,,,,,,,,,,,,
3.0,2.0,1.0,10.0,3.0,0.75,0.1666666666666666,0.4,counterfactual_reasoning,investment_outcome_sem,hc,,,,,,,,,,,,,,,,
